year,CODGEO,LIBGEO,rank,density_data,reldensity_data,area_data,relarea_data,pop_data,relpop_data,popweight,group,ngroup
1975,42218,Saint-Étienne,7,5369.98036463546,0.79927114978713,52.6875,0.0469350258894271,282930.840461731,0.0390882121751322,0.020481058742116125,3,6
1975,44109,Nantes,6,4036.41580694372,0.600782588383609,88.0,0.0783920717109292,355204.591011047,0.0490731671257975,0.025712877684504646,3,6
1975,51454,Reims,13,6718.59651892309,1.0,31.375,0.0279494460219364,210795.965781212,0.0291224435719739,0.015259292874260066,4,5
1975,54395,Nancy,16,4733.02906989359,0.704466930937571,51.6875,0.046044206892712,244638.440050125,0.0337979388718003,0.01770911312838649,5,6
1975,59350,Lille,5,4981.39447705518,0.741433789486385,177.0625,0.157730638605868,882018.159593582,0.121854913053131,0.06384834438256554,3,6
1975,67482,Strasbourg,11,3793.21676813147,0.564584695248149,95.6875,0.0852402427481766,362963.42950058,0.0501450867674191,0.026274531644233403,4,5
1975,68224,Mulhouse,17,3277.36220401231,0.487804587577411,58.125,0.0517788541840655,190496.678108215,0.0263180025210399,0.013789849307856074,5,6
1975,69123,Lyon,2,4218.27261288249,0.627850266197951,212.125,0.188964979678192,894801.078007698,0.123620932714943,0.06477368607563769,2,2
1975,75060,Paris,1,6447.98401908562,0.959721870620556,1122.5625,1.0,7.2382650604248e6,1.0,0.5239702100047975,1,1
1975,76351,Le Havre,10,3755.52887819334,0.55897520674382,70.375,0.0626913868938255,264295.344802857,0.0365136317330918,0.019132055287225978,4,5
1975,76540,Rouen,9,3636.647112168,0.541280772245408,96.5625,0.0860197093703023,351163.736768723,0.0485149043088667,0.025420364599079582,3,6
1975,80021,Amiens,15,4658.65065388909,0.693396402175348,28.625,0.0254996937809699,133353.874967575,0.0184234583638954,0.009653343347944906,5,6
1975,83137,Toulon,14,2146.49092979634,0.319485018002004,175.9375,0.156728467234564,377648.247961044,0.0521738627707674,0.027337549832760488,4,5
1975,87085,Limoges,19,4043.97644647822,0.601907918579165,27.75,0.0247202271588442,112220.346389771,0.0155037630499793,0.008123509981162331,5,6
1990,13055,Marseille,3,4431.62660654168,0.674501647311682,178.125,0.140824192113845,789383.489290238,0.0949861495621254,0.05038453775993808,2,2
1990,29019,Brest,12,3800.03403955316,0.578372107373745,44.875,0.0354778140132424,170526.527524948,0.0205193780558528,0.01088431716867696,4,5
