CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
56121,Lorient,38,53,56,93785.0911865234,29.5625,1975,satellite,44.0625,76.8996024545101,30.4335994720459,57.4575996398926,84.6752014160156,98.7136001586914,100,38.7959785461426,115.606225967407,183.29174041748,315.345664978027,330.427703857422
34032,Béziers,39,76,34,52921.6946716309,11.625,1975,satellite,35.5,62.8714581458799,30.324800491333,47.9831991195679,62.5839996337891,76.6171970367432,98.8143997192383,82.8773803710938,217.585418701172,283.79443359375,347.429588317871,448.085418701172
62193,Calais,40,32,62,87942.226272583,22.875,1975,satellite,36.5,75.1820808837974,30.4927997589111,56.0399990081787,82.8335990905762,95.8908004760742,100,65.0935745239258,170.751991271973,263.052032470703,319.141860961914,333.328308105469
84007,Avignon,41,93,84,66419.5129089356,17.3125,1975,satellite,159.5,73.3726209234245,30.3600006103516,54.6192016601563,78.9632034301758,92.6223983764648,100,86.381103515625,173.249145507813,254.000152587891,310.495635986328,337.407196044922
18033,Bourges,42,24,18,87497.2036819458,27.3125,1975,satellite,53.125,69.9054903383932,30.1984004974365,53.1696014404297,71.1503982543945,89.7872009277344,100,50.2520523071289,134.919586181641,200.050140380859,270.838684082031,309.001647949219
86194,Poitiers,43,75,86,70970.2597579956,21.9375,1975,satellite,73.125,56.9179669078599,30.1872005462647,42.4904003143311,56.0208015441895,69.2368011474609,99.6480026245117,85.0954895019531,149.182281494141,201.271820068359,247.189071655273,363.803375244141
16015,Angoulême,44,75,16,74553.4088020325,34.875,1975,satellite,68.25,69.1439311085636,30.1263999938965,51.3780002593994,71.3720016479492,86.7328014373779,100,26.5379619598389,77.4661712646484,115.189147949219,198.751434326172,276.408966064453
64445,Pau,45,75,64,102841.339553833,29,1975,satellite,161.9375,65.9352136644824,30.0063991546631,49.050799369812,65.8415985107422,81.8831996917725,100,40.1322059631348,145.385768890381,219.008209228516,303.201286315918,395.235931396484
13001,Aix-en-Provence,46,93,13,66617.6245651245,21.25,1975,satellite,50.75,73.9008892844705,30.1695995330811,53.5003995895386,81.0016021728516,96.2111968994141,100,26.9319915771484,141.986522674561,214.972900390625,255.338165283203,265.393402099609
34301,Sète,47,76,34,31176.582069397,12,1975,satellite,70,63.6962169408798,30.0399990081787,47.8711996078491,63.6096000671387,77.6992015838623,100,44.0978736877441,99.7332286834717,140.215866088867,227.026424407959,352.568328857422
66136,Perpignan,48,76,66,68435.3172054291,25.6875,1975,satellite,206.3125,68.2096506476112,30.2096004486084,52.410400390625,70.4336013793945,83.7344017028809,100,17.2072315216064,116.731678009033,182.191909790039,221.498611450195,265.270324707031
