year,theta_rural,theta_urban,Employment_rural,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,P_rural,stheta_rural,stheta_urban
1966,5.4296732117587085,6.018300610974773,0.176894411444664,0.284004122018814,0.487806558609009,0.228189319372177,0.7383530582395839,5.69775916180722,6.100407692411038
1967,5.9838728482288435,6.261440982051816,0.170204326510429,0.276117950677872,0.486269235610962,0.237612813711166,0.7281006276567173,6.052855597499963,6.374463177210843
1968,6.487220309647001,6.591706657409282,0.163157626986504,0.268388152122498,0.484753578901291,0.246858268976212,0.7179123876562704,6.445744874757788,6.6545960180440495
1969,6.674516741937616,6.84118507613269,0.152168571949005,0.25859797000885,0.490428060293198,0.250973999500275,0.7077770149862063,6.855594648299941,6.940259829338225
1970,7.287458980512244,7.157918585041469,0.142746195197105,0.251740753650665,0.492878675460815,0.255380570888519,0.6976744321669571,7.251135298941594,7.228166857678347
1971,7.443087863854405,7.513641787865022,0.135203093290329,0.24394778907299,0.498398810625076,0.25765335559845,0.6875848456794308,7.601237411364369,7.514680906640827
1972,8.536816287434323,7.68534313244993,0.12732695043087,0.241125777363777,0.501024842262268,0.257849365472794,0.6774900425294987,7.889453214111482,7.795990822512078
1973,9.0777391955211,8.10089155268583,0.119610637426376,0.237560957670212,0.505794107913971,0.256644904613495,0.6673715355333045,8.116116219757004,8.06861097767616
1974,8.502896315270482,8.438296170384355,0.113566890358925,0.230897858738899,0.51290500164032,0.25619712471962,0.657211037436523,8.29210097432375,8.32983697568095
1975,8.164569118219333,8.445515926734283,0.109849020838737,0.227593883872032,0.516748487949371,0.255657613277435,0.6469920649876124,8.431531496874491,8.577784288091499
1976,7.993713721639843,8.725039879275005,0.105277985334396,0.219133526086807,0.525886058807373,0.254980385303497,0.6366975322678313,8.561902303649246,8.810412365719968
1977,8.273978674083471,9.010406405987148,0.100745223462582,0.21948230266571,0.525456845760346,0.255060851573944,0.6263112257937542,8.715191102927239,9.026441701666714
1978,8.747228998510156,9.243221533422112,0.0976513624191284,0.214348196983337,0.530163407325745,0.255488395690918,0.6158221811844822,8.908995461523213,9.226588532199678
1979,9.457470627954718,9.402888278743115,0.0946306884288788,0.208140283823013,0.534858882427216,0.257000833749771,0.605228047335972,9.154035501486286,9.41225231231799
1980,9.06578779163467,9.582673253565723,0.0914089381694794,0.202450275421143,0.530170559883118,0.26737916469574,0.5945277536575322,9.45356475904192,9.586051584038175
1981,9.261648062676256,9.686088432679863,0.0883121639490128,0.200750678777695,0.533259451389313,0.265989869832993,0.5837247870510178,9.798337763660891,9.750943228223464
1982,10.988699020526665,9.765510211233162,0.08528833091259,0.198679149150848,0.539937376976013,0.261383473873138,0.5728377685250517,10.176466956528028,9.909900608869368
1983,10.331836844517163,9.947167841709284,0.0829364359378815,0.198011264204979,0.538672208786011,0.263316541910172,0.5618968619402414,10.58949752700838,10.06880569539467
1984,10.399813058795703,10.150620731705322,0.0808471441268921,0.19899120926857,0.534580111503601,0.266428709030151,0.55094671583968,11.059153605892387,10.234233310410588
1985,11.262338342742392,10.274409958459492,0.0784866288304329,0.195562615990639,0.536643207073212,0.267794162034988,0.540042679966941,11.595699106818113,10.410227964559924
1986,12.027651554428369,10.446810204886479,0.0756321847438812,0.193616136908531,0.542758166790009,0.263625681400299,0.5292401815780207,12.19168640873611,10.598544943174302
1987,12.656069031975631,10.579660632716543,0.0722001940011978,0.189903795719147,0.548876404762268,0.261219799518585,0.5185893079179817,12.829541610507926,10.798508080103751
1988,12.885705067174953,10.954744642710462,0.0687494352459908,0.186665147542954,0.5520960688591,0.261238813400269,0.5081361382506763,13.491540694734407,11.006360746980524
1989,14.571603822901329,11.167266536514326,0.0648017004132271,0.183402791619301,0.557135760784149,0.259461462497711,0.49792082682537725,14.1757714800505,11.216505569345943
1990,16.200704469340174,11.337166564708653,0.0614507980644703,0.181903481483459,0.556655287742615,0.261441260576248,0.4879829722738102,14.874698726065885,11.423257348745569
1991,14.646451747124628,11.55854121517932,0.0590271688997746,0.182646334171295,0.546955287456513,0.270398408174515,0.47836644630072594,15.578540359175305,11.62210044537454
1992,16.32419679696159,11.827830212832714,0.056853823363781,0.178582474589348,0.547301113605499,0.274116426706314,0.4691066855753216,16.294744034467545,11.81063313266904
1993,16.062415606481462,11.952303850641181,0.0549997761845589,0.180004730820656,0.538934707641602,0.281060546636581,0.46022910919564597,17.036539383917695,11.988884636968788
1994,17.792107290756555,12.058804452879752,0.0532915368676186,0.179911747574806,0.537408173084259,0.282680064439774,0.4517567234436308,17.802698871181835,12.159594805040744
1995,18.773567135524583,12.196513753325116,0.0515468493103981,0.180624425411224,0.532164335250855,0.287211239337921,0.44371026766756627,18.581387565735234,12.326782510242856
1996,19.542834821801367,12.292973354297606,0.0502447709441185,0.177662774920464,0.532748520374298,0.2895887196064,0.4361047609779715,19.36347024212931,12.49207460278278
1997,19.93748186030315,12.527340668040635,0.0487448535859585,0.179177165031433,0.529549956321716,0.291272848844528,0.4289475948158232,20.12064088421452,12.654738837086263
1998,21.52345108280861,12.75483711901682,0.0471928752958775,0.177288457751274,0.532648861408234,0.290062725543976,0.42224325517100325,20.80187476212885,12.815294145108025
1999,22.0297706844638,12.909094899124236,0.0454487204551697,0.175825074315071,0.535867929458618,0.28830823302269,0.4159982252574346,21.381085220412945,12.974870476829588
2000,21.8260431390312,13.145556689041683,0.0432432442903519,0.1726433634758,0.54595160484314,0.28140452504158,0.4102169239959308,21.841979263091993,13.133201760114229
2001,22.607359470372945,13.184257124538615,0.0418895184993744,0.174519345164299,0.545332551002502,0.280142962932587,0.4049003616207401,22.060399055959106,13.264533777638759
2002,23.415472030675268,13.220352562260357,0.0408279001712799,0.175933077931404,0.542541205883026,0.281528502702713,0.4000471905347195,22.281003046185248,13.397179115202984
2003,21.911681526540967,13.388511466567328,0.0401133373379707,0.175670504570007,0.537669479846954,0.286664366722107,0.3956479592621675,22.50381307660542,13.531150906743976
2004,22.82706367527666,13.705209863182564,0.0393891632556915,0.171049162745476,0.54069858789444,0.288251429796219,0.3916822597255537,22.72885120748957,13.666462415263334
2005,23.383688056914497,13.806887262437302,0.0384337641298771,0.166098892688751,0.541327059268951,0.292575627565384,0.3881297072089671,22.95613971932133,13.803127039899223
2006,21.480635858081488,13.972985130849333,0.0372127965092659,0.162734791636467,0.541875004768372,0.295388609170914,0.3849755885385258,23.185701116966083,13.941158310033016
2007,22.342977243745068,14.118123746729736,0.0359174124896526,0.159547790884972,0.545877873897553,0.294579416513443,0.3822028413327853,23.417558127586947,14.08056989295065
2008,19.16877248392173,14.235947227616187,0.0349134914577007,0.160855904221535,0.542856514453888,0.296287804841995,0.3797901373226798,23.651733708980913,14.221375592074638
2009,19.551788948275444,14.018752612086404,0.0343191102147102,0.164890691637993,0.531098544597626,0.304008960723877,0.3777162003834007,23.888251046105456,14.363589348142717
2010,24.390095886747773,14.10805599324003,0.033657617866993,0.166261062026024,0.527667224407196,0.306072890758514,0.37596336469336106,24.127133556635975,14.507225241565212
2011,21.849890380416422,14.391637366363376,0.0330236554145813,0.167417794466019,0.527220904827118,0.305362731218338,0.3745212243542659,24.36840489235517,14.652297494193025
2012,21.905910560276237,14.415894945132498,0.0325184240937233,0.170976355671883,0.51738828420639,0.311634600162506,0.3733836985534178,24.61208894123704,14.798820468728314
2013,18.629339284228873,14.574695029875759,0.0322404801845551,0.173226401209831,0.511513411998749,0.315257698297501,0.37254436627877846,24.858209830920337,14.94680867343917
2014,21.299361102304836,14.57247348063916,0.0318975560367107,0.17256498336792,0.513247609138489,0.314184308052063,0.3719939090497728,25.106791928708525,15.096276760391616
2015,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,25.357859848516622,15.247239527806943
2016,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,25.61143844670308,15.3997119230084
2017,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,25.867552831100642,15.553709042421179
2018,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,26.126228359627,15.709246132751096
2019,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,26.38749064306349,15.866338593931275
2020,23.560016081177174,14.597767708073617,0.0313273519277573,0.172066941857338,0.514036297798157,0.313897520303726,0.3717218474298239,26.651365549223197,16.0250019803008
